"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q1","MOS","37.1mm","117.257mm","37.1mm","117.85mm","37.1mm","118.95mm","T","360.00","MOSFET-N"
"Q2","MOS","32.757mm","110.1mm","33.35mm","110.1mm","34.45mm","110.1mm","T","270.00","MOSFET-N"
"Q3","MOS","6.85mm","117.157mm","6.85mm","117.75mm","6.85mm","118.85mm","T","360.00","MOSFET-N"
"Q4","MOS","11.443mm","110.1mm","10.85mm","110.1mm","9.75mm","110.1mm","T","90.00","MOSFET-N"
"R2","R0603","27.85mm","127.05mm","27.85mm","127.05mm","27.05mm","127.05mm","T","360.00","10k"
"CIN1","Electrolytic","7.8mm","147.7mm","7.8mm","147.7mm","7.8mm","145.95mm","T","180.00","270uF,16V"
"P2","Header_SMD_10_B1","51.7mm","32mm","51.7mm","32mm","47.2mm","20.6mm","T","270.00","Header 20"
"P1","PCIE_vertical_through_hole1","24.5mm","146.75mm","24.5mm","146.75mm","28.7mm","144mm","T","180.00","PCIE 6pin"
"COUT18","C1812","21.3mm","31mm","21.25mm","31mm","23.75mm","31mm","T","180.00","100uF,6.3V"
"COUT17","C1812","23.2mm","71.25mm","23.25mm","71.25mm","20.75mm","71.25mm","T","360.00","100uF,6.3V"
"COUT16","C1812","23.2mm","66.75mm","23.25mm","66.75mm","20.75mm","66.75mm","T","360.00","100uF,6.3V"
"COUT15","C1812","28.5mm","87.45mm","28.5mm","87.5mm","28.5mm","85mm","T","90.00","100uF,6.3V"
"COUT6","CASE-D1","36.5mm","35.75mm","36.5mm","35.75mm","32.7mm","35.75mm","T","360.00","330uF,2.5V"
"COUT4","CASE-D1","40.75mm","83mm","40.75mm","83mm","40.75mm","79.2mm","T","90.00","330uF,2.5V"
"COUT2","CASE-D1","3mm","82.75mm","3mm","82.75mm","3mm","78.95mm","T","90.00","330uF,2.5V"
"CIN7","C1210","41.75mm","116.25mm","41.75mm","116.25mm","41.75mm","114.65mm","T","90.00","10uF,16V"
"CIN6","C1210","27.25mm","110.5mm","27.25mm","110.5mm","27.25mm","108.9mm","T","90.00","10uF,16V"
"CIN5","C1210","23.5mm","110.5mm","23.5mm","110.5mm","23.5mm","108.9mm","T","90.00","10uF,16V"
"CIN4","C1210","19.75mm","110.5mm","19.75mm","110.5mm","19.75mm","108.9mm","T","90.00","10uF,16V"
"CIN3","C1210","16mm","110.5mm","16mm","110.5mm","16mm","108.9mm","T","90.00","10uF,16V"
